Company,Date,Adj Close,Volume,Difference,Difference_Percentage
T,2020-06-02,18.039545,37650588,0.0349220000000016,0.193961295385089
T,2020-06-03,18.342241,36888361,0.3026960000000009,1.6779580637981777
T,2020-06-04,18.511055,40729947,0.1688139999999975,0.9203564602602134
T,2020-06-05,19.075697,61816766,0.5646420000000028,3.050296160861727
T,2020-06-08,19.34347,45385793,0.2677729999999982,1.40373900885508
T,2020-06-09,18.988384,42645378,-0.355086,1.835689253272552
T,2020-06-10,18.708971,36133549,-0.2794130000000017,1.4714943620268144
T,2020-06-11,17.562212,66021525,-1.1467589999999994,6.129460567339591
T,2020-06-12,17.754313,48034323,0.1921010000000009,1.0938314604105734
T,2020-06-15,17.754313,53309006,0.0,0.0
T,2020-06-16,17.917301000000002,55119444,0.1629879999999985,0.918019187788334
T,2020-06-17,17.614608999999998,41680314,-0.3026919999999968,1.6893839088822409
T,2020-06-18,17.666998,37554730,0.052388999999998,0.2974178989723701
T,2020-06-19,17.643715,99288878,-0.0232829999999992,0.13178809438932002
T,2020-06-22,17.52729,39136646,-0.1164249999999995,0.6598667004086133
T,2020-06-23,17.608786,51520812,0.0814959999999977,0.4649663467655169
T,2020-06-24,17.125637,86849104,-0.4831489999999974,2.743795057762627
T,2020-06-25,17.300268,48420401,0.1746309999999979,1.0197051356396143
T,2020-06-26,16.927717,101387551,-0.3725509999999978,2.153440628780998
T,2020-06-29,17.410868,49695678,0.4831509999999994,2.8542005989348675
T,2020-06-30,17.597145,57979814,0.1862770000000004,1.0698892209165014
T,2020-07-01,17.405048,41007987,-0.1920970000000004,1.0916373082110786
T,2020-07-02,17.509826999999998,49947900,0.1047790000000006,0.6020035107056333
T,2020-07-06,17.748495000000002,44639852,0.238667999999997,1.3630517308937258
T,2020-07-07,17.649534,36422181,-0.0989609999999991,0.5575740365591516
T,2020-07-08,17.731028,51547292,0.0814939999999992,0.461734570442479
T,2020-07-09,17.593142999999998,52120187,-0.1378849999999971,0.7776480867324622
T,2020-07-10,17.94453,48846464,0.35138699999999895,1.997295196202288
T,2020-07-13,17.724165,54274864,-0.220365000000001,1.2280343926533661
T,2020-07-14,17.843281,40519034,0.1191160000000017,0.6720542265319792
T,2020-07-15,17.87306,40985612,0.0297789999999977,0.1668919522143813
T,2020-07-16,18.099375,43674920,0.2263149999999996,1.266235328477606
T,2020-07-17,18.015997,30634712,-0.0833779999999997,0.4606678407403555
T,2020-07-20,17.777767,42896938,-0.2382299999999979,1.3223248205469726
T,2020-07-21,18.015997,45341572,0.2382299999999979,1.3400445624020043
T,2020-07-22,17.962393,40393519,-0.0536039999999999,0.2975355735239076
T,2020-07-23,17.807548999999998,68190502,-0.1548439999999971,0.8620454969446282
