Company,Date,Adj Close,Volume,Difference,Difference_Percentage
KO,2020-06-02,42.42244,15255100,0.0,0.0
KO,2020-06-03,43.326977,15508300,0.9045369999999976,2.1322135171857104
KO,2020-06-04,43.345058,13604700,0.0180810000000022,0.0417315059852946
KO,2020-06-05,44.403358000000004,20504800,1.0582999999999956,2.441570155471924
KO,2020-06-08,45.090801,19896700,0.6874430000000018,1.5481779553699562
KO,2020-06-09,44.321945,16713700,-0.7688559999999995,1.7051282810433983
KO,2020-06-10,43.978229999999996,15716600,-0.34371499999999605,0.7754962017122579
KO,2020-06-11,41.19228,26070400,-2.7859500000000064,6.334838850949677
KO,2020-06-12,41.621269,21822700,0.4289890000000014,1.0414305787395148
KO,2020-06-15,42.260197,15622300,0.6389279999999999,1.5350997587315274
KO,2020-06-16,42.68919,18803500,0.4289930000000055,1.015123048290583
KO,2020-06-17,42.515762,12602800,-0.1734280000000012,0.4062574155190137
KO,2020-06-18,42.889988,9380800,0.3742260000000001,0.8802053224401816
KO,2020-06-19,42.004622999999995,30464600,-0.8853650000000002,2.0642696379397454
KO,2020-06-22,41.74905,20876200,-0.2555730000000054,0.6084401709783358
KO,2020-06-23,41.657784,14675300,-0.0912659999999974,0.2186061718769587
KO,2020-06-24,40.754166,17631800,-0.9036180000000016,2.16914562714138
KO,2020-06-25,41.009727000000005,13829700,0.2555610000000001,0.627079449988009
KO,2020-06-26,39.768394,21955100,-1.2413329999999974,3.0269233443080403
KO,2020-06-29,40.489468,17603900,0.7210740000000015,1.8131836050507888
KO,2020-06-30,40.781548,23679800,0.2920799999999985,0.7213727777307386
KO,2020-07-01,40.909325,14316500,0.1277770000000018,0.3133206223559778
KO,2020-07-02,40.964088000000004,15111900,0.0547629999999941,0.1338643451095663
KO,2020-07-06,41.283558,15146000,0.3194700000000026,0.7798782191855526
KO,2020-07-07,41.265297,13043600,-0.0182610000000025,0.0442331060709508
KO,2020-07-08,41.137516,13851200,-0.1277809999999988,0.3096572890290813
KO,2020-07-09,40.078734999999995,16087100,-1.0587809999999962,2.573760165781513
KO,2020-07-10,41.210537,15627800,1.1318020000000004,2.823946414476406
KO,2020-07-13,41.301811,16705300,0.0912739999999985,0.2214821903436941
KO,2020-07-14,41.867702,17080100,0.5658910000000006,1.3701360456082678
KO,2020-07-15,42.351467,23738000,0.4837649999999982,1.1554610759386752
KO,2020-07-16,42.123283,13306100,-0.2281839999999988,0.538786531290637
KO,2020-07-17,42.734825,13899800,0.611542,1.4517909252229937
KO,2020-07-20,42.095898,16633200,-0.6389270000000025,1.495096797518189
KO,2020-07-21,43.081665,25681500,0.9857670000000028,2.3417174756552352
KO,2020-07-22,44.249977,29831200,1.1683120000000002,2.711854335249114
KO,2020-07-23,44.067432000000004,15935000,-0.1825450000000046,0.4125312878693804
KO,2020-07-24,44.259106,16196800,0.1916740000000061,0.4349561372217154
KO,2020-07-27,44.249977,17346500,-0.0091290000000014,0.0206262638924552
KO,2020-07-28,43.976158,13872700,-0.2738190000000031,0.6188003216363325
KO,2020-07-29,43.83012,13758100,-0.1460379999999972,0.3320844899638509
KO,2020-07-30,43.528912,17276500,-0.3012080000000026,0.6872169184113631
KO,2020-07-31,43.118179,14849200,-0.4107330000000004,0.9435866442055808
KO,2020-08-03,42.260197,14137500,-0.8579819999999998,1.9898382072211347
KO,2020-08-04,42.616165,11717200,0.3559680000000043,0.8423245163764956
KO,2020-08-05,43.099922,10498700,0.4837569999999971,1.135149068434471
KO,2020-08-06,43.337234,10745000,0.2373120000000028,0.5506088850926525
KO,2020-08-07,43.629314,11669700,0.2920799999999985,0.6739701015528553
KO,2020-08-10,43.556297,11888000,-0.0730170000000001,0.1673576623276728
KO,2020-08-11,43.747974,16531600,0.1916769999999985,0.4400672536510589
KO,2020-08-12,44.204342,9562200,0.4563679999999976,1.0431751650944971
KO,2020-08-13,44.158714,9882900,-0.0456279999999935,0.1032206293218742
KO,2020-08-14,44.222595,10075800,0.0638809999999949,0.1446622743587935
KO,2020-08-17,44.003547999999995,9102400,-0.2190469999999962,0.4953282366174943
KO,2020-08-18,44.195217,9829000,0.1916689999999974,0.4355762403522493
KO,2020-08-19,43.236832,17371000,-0.9583849999999998,2.16852651724733
KO,2020-08-20,43.218575,11308700,-0.0182569999999984,0.042225572863429005
KO,2020-08-21,43.15469,14734100,-0.063884999999999,0.1478183859602013
KO,2020-08-24,43.784477,9257700,0.6297870000000003,1.4593709281656297
KO,2020-08-25,43.729713000000004,7827800,-0.0547640000000058,0.1250762913075467
KO,2020-08-26,43.957905,10124200,0.2281919999999999,0.5218236854195679
KO,2020-08-27,44.021797,10931600,0.0638920000000027,0.1453481461411837
KO,2020-08-28,45.482193,16420300,1.4603960000000034,3.317438404434064
KO,2020-08-31,45.208363,18510800,-0.2738300000000038,0.6020597995351803
KO,2020-09-01,44.834137,12588400,-0.3742260000000001,0.8277804706177929
KO,2020-09-02,46.723526,26332600,1.8893890000000009,4.214175015792098
