Company,Date,Negative,Neutral,Positive,Row_Tweets_Count
AXP,2020-06-02,0.0,1.0,0.0,39
AXP,2020-06-03,0.07407407407407407,0.925925925925926,0.0,50
AXP,2020-06-04,0.0,0.9285714285714286,0.07142857142857142,40
AXP,2020-06-05,0.0,0.9565217391304348,0.043478260869565216,57
AXP,2020-06-08,0.030303030303030307,0.9393939393939394,0.030303030303030307,63
AXP,2020-06-09,0.0,1.0,0.0,48
AXP,2020-06-10,0.10714285714285714,0.8928571428571429,0.0,56
AXP,2020-06-11,0.05555555555555555,0.9444444444444444,0.0,59
AXP,2020-06-12,0.07692307692307693,0.9230769230769232,0.0,50
AXP,2020-06-15,0.0,0.9642857142857144,0.03571428571428571,83
AXP,2020-06-16,0.037037037037037035,0.8888888888888888,0.07407407407407407,80
AXP,2020-06-17,0.08333333333333333,0.8333333333333334,0.08333333333333333,57
AXP,2020-06-18,0.3076923076923077,0.6538461538461539,0.038461538461538464,74
AXP,2020-06-19,0.10526315789473684,0.8947368421052632,0.0,43
AXP,2020-06-22,0.4230769230769231,0.5384615384615384,0.038461538461538464,55
AXP,2020-06-23,0.2,0.8,0.0,26
AXP,2020-06-24,0.043478260869565216,0.9565217391304348,0.0,41
AXP,2020-06-25,0.1875,0.75,0.0625,38
AXP,2020-06-26,0.054054054054054064,0.9189189189189191,0.027027027027027032,61
AXP,2020-06-29,0.125,0.6875,0.1875,49
AXP,2020-06-30,0.05,0.85,0.1,32
AXP,2020-07-01,0.14285714285714285,0.8571428571428571,0.0,26
AXP,2020-07-02,0.16666666666666666,0.8333333333333334,0.0,31
AXP,2020-07-06,0.0,1.0,0.0,30
AXP,2020-07-07,0.2727272727272727,0.6363636363636364,0.09090909090909093,34
AXP,2020-07-08,0.2,0.8,0.0,62
AXP,2020-07-09,0.16666666666666666,0.8333333333333334,0.0,33
AXP,2020-07-10,0.0,0.9090909090909092,0.09090909090909093,29
AXP,2020-07-13,0.2,0.65,0.15,48
AXP,2020-07-14,0.1176470588235294,0.8235294117647058,0.05882352941176471,47
AXP,2020-07-15,0.2,0.8,0.0,73
AXP,2020-07-16,0.2,0.8,0.0,45
AXP,2020-07-17,0.04166666666666666,0.9583333333333334,0.0,37
AXP,2020-07-20,0.2,0.8,0.0,43
AXP,2020-07-21,0.0,0.9,0.1,30
AXP,2020-07-22,0.0,0.8666666666666667,0.13333333333333333,34
AXP,2020-07-23,0.21739130434782608,0.5652173913043478,0.21739130434782608,71
AXP,2020-07-24,0.14545454545454545,0.7909090909090909,0.06363636363636363,217
AXP,2020-07-27,0.1111111111111111,0.8444444444444444,0.04444444444444445,84
AXP,2020-07-28,0.03125,0.875,0.09375,50
AXP,2020-07-29,0.05882352941176471,0.9411764705882352,0.0,38
AXP,2020-07-30,0.0625,0.875,0.0625,36
AXP,2020-07-31,0.2857142857142857,0.7142857142857143,0.0,22
AXP,2020-08-03,0.2857142857142857,0.5714285714285714,0.14285714285714285,17
AXP,2020-08-04,0.0,1.0,0.0,20
AXP,2020-08-05,0.0,1.0,0.0,17
AXP,2020-08-06,0.0,1.0,0.0,18
AXP,2020-08-07,0.0,0.8888888888888888,0.1111111111111111,18
AXP,2020-08-10,0.12,0.8,0.08,53
AXP,2020-08-11,0.1153846153846154,0.8461538461538461,0.038461538461538464,64
AXP,2020-08-12,0.18181818181818185,0.8181818181818182,0.0,36
AXP,2020-08-13,0.0,1.0,0.0,20
AXP,2020-08-14,0.21052631578947367,0.7368421052631579,0.05263157894736842,45
AXP,2020-08-17,0.06666666666666668,0.9,0.03333333333333333,52
AXP,2020-08-18,0.08,0.8,0.12,45
AXP,2020-08-19,0.0,0.875,0.125,42
AXP,2020-08-20,0.03448275862068965,0.9310344827586208,0.03448275862068965,54
AXP,2020-08-21,0.1176470588235294,0.8235294117647058,0.05882352941176471,39
AXP,2020-08-24,0.0,0.7,0.3,37
AXP,2020-08-25,0.05,0.85,0.1,47
AXP,2020-08-26,0.0,1.0,0.0,20
AXP,2020-08-27,0.0,0.7826086956521741,0.21739130434782608,56
AXP,2020-08-28,0.0,0.8235294117647058,0.17647058823529413,42
AXP,2020-08-31,0.06666666666666668,0.8666666666666667,0.06666666666666668,47
AXP,2020-09-01,0.0,0.75,0.25,42
AXP,2020-09-02,0.12,0.76,0.12,52
AXP,2020-09-03,0.08,0.76,0.16,58
AXP,2020-09-04,0.2857142857142857,0.42857142857142855,0.2857142857142857,41
AXP,2020-09-08,0.0,0.8333333333333334,0.16666666666666666,21
AXP,2020-09-09,0.0,1.0,0.0,13
AXP,2020-09-10,0.0,0.8571428571428571,0.14285714285714285,14
AXP,2020-09-11,0.1111111111111111,0.8888888888888888,0.0,19
AXP,2020-09-14,0.0,0.7142857142857143,0.2857142857142857,42
AXP,2020-09-15,0.03448275862068965,0.8965517241379308,0.06896551724137931,43
AXP,2020-09-16,0.0,0.8,0.2,37
AXP,2020-09-17,0.0,0.7692307692307693,0.2307692307692308,21
AXP,2020-09-18,0.07692307692307693,0.8461538461538461,0.07692307692307693,25
AXP,2020-09-21,0.4444444444444444,0.5,0.05555555555555555,35
AXP,2020-09-22,0.0,1.0,0.0,23
AXP,2020-09-23,0.4230769230769231,0.5384615384615384,0.038461538461538464,87
AXP,2020-09-24,0.2352941176470588,0.7058823529411765,0.05882352941176471,31
AXP,2020-09-25,0.35714285714285715,0.5714285714285714,0.07142857142857142,29
AXP,2020-09-28,0.0,1.0,0.0,19
AXP,2020-09-29,0.0,0.9411764705882352,0.05882352941176471,44
